beer_name,beer_id,brewery_id,Style,Category,Brewer,Address,City,State
Double Wide I.P.A.,5298,161,Imperial or Double India Pale Ale,North American Ale,Boulevard Brewing Company,2501 Southwest Boulevard,Kansas City,Missouri
Frog's Hollow Double Pumpkin Ale,5782,673,Pumpkin Beer,Other Style,Hoppin Frog Brewery,1680-F East Waterloo Rd.,Akron,Ohio
Weathertop Doppelbock,1095,866,Traditional German-Style Bock,German Lager,Milly's Tavern,500 Commercial Street,Manchester,New Hampshire
Oatmeal Stout,1137,440,American-Style Stout,North American Ale,Denver ChopHouse and Brewery,1735 19th Street #100,Denver,Colorado
Black Strap Stout,1359,255,American-Style Stout,North American Ale,BridgePort Brewing,1313 NW Marshall Street,Portland,Oregon
Irish Setter Red Ale,2075,1255,American-Style Amber/Red Ale,North American Ale,Thirsty Dog Brewing,529 Grant St. Suite B,Akron,Ohio
Befuddelator Doppelbock,2125,1268,Traditional German-Style Bock,German Lager,Titletown Brewing,200 Dousman Street,Green Bay,Wisconsin
PMD Mild Ale,2256,585,English-Style Pale Mild Ale,British Ale,Goose Island Beer Company - Clybourn,1800 North Clybourn Avenue,Chicago,Illinois
Old Glory American Pale Ale,2942,602,American-Style Pale Ale,North American Ale,Great Dane Pub and Brewing #1,123 East Doty Street,Madison,Wisconsin
Demolition,407,586,American-Style Lager,North American Lager,Goose Island Beer Company - Fulton Street,1800 West Fulton Street,Chicago,Illinois
Islander Pale Ale,669,829,American-Style Pale Ale,North American Ale,Maritime Pacific Brewing,1514 NW Leary Way,Seattle,Washington
Driftwood Ale,795,966,American-Style Pale Ale,North American Ale,Pacific Rim Brewing,9832 14th Avenue SW,Seattle,Washington
Big Daddy IPA,917,1177,American-Style India Pale Ale,North American Ale,Speakeasy Ales and Lagers,1195-A Evans Avenue,San Francisco,California
Union Barrel Works Pale Ale,4796,1309,American-Style Pale Ale,North American Ale,Union Barrel Works,6 N. Reamstown Road,Reamstown,Pennsylvania
Parking Violation,4827,1086,American-Style Pale Ale,North American Ale,Russian River Brewing,725 Fourth Street,Santa Rosa,California
Pozharnik,4989,976,American-Style Imperial Stout,North American Ale,Pennichuck Brewing Company,"127 Elm St., Unit C",Milford,New Hampshire
Apache Trout Stout,5235,876,Sweet Stout,British Ale,Mogollon Brewing Company,4366 Huntington Dr,Flagstaff,Arizona
Mayhem Belgian-style Double IPA,5758,858,Other Belgian-Style Ales,Belgian and French Ale,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
Paradise Porter,5797,444,Porter,Irish Ale,Diamond Bear Brewing Co.,323-C Cross Street,Little Rock,Arkansas
Sweet Action,5863,1149,American-Style Cream Ale or Lager,Other Style,Sixpoint Craft Ales,40 Van Dyke St,Brooklyn,New York
Space-Aged Lager,3138,112,American-Style Lager,North American Lager,Big Bang Brewery (Closed),650 Fifth Street #403,San Francisco,California
Kilgubbin Irish Ale,3188,585,American-Style Amber/Red Ale,North American Ale,Goose Island Beer Company - Clybourn,1800 North Clybourn Avenue,Chicago,Illinois
Amber Lager,3508,1029,American-Style Lager,North American Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California
Ehu Ale,3565,1098,American-Style Brown Ale,North American Ale,"Sam Choy's Breakfast, Lunch, Crab & Big Aloha Brewery",580 North Nimitz Highway,Honolulu,Hawaii
Boston Red,3655,158,American-Style Amber/Red Ale,North American Ale,Boston Beer Works,61 Brookline Avenue,Boston,Massachusetts
Mt. Nittany Pale Ale,3847,960,American-Style Pale Ale,North American Ale,Otto's Pub and Brewery,2105 N. Atherton St.,State College,Pennsylvania
Dry Stout,1441,1263,American-Style Stout,North American Ale,Thunderhead Brewery,18 East 21st Street,Kearney,Nebraska
India Pale Ale,100,901,American-Style Pale Ale,North American Ale,Nebraska Brewing Company,7474 Towne Center Parkway #101,Papillion,Nebraska
Double India Pale Ale,182,810,American-Style Pale Ale,North American Ale,Mad River Brewing,195 Taylor Way,Blue Lake,California
Certified Organic Amber Ale,188,481,American-Style Amber/Red Ale,North American Ale,Eel River Brewing,1777 Alamar Way,Fortuna,California
Oro de Calabaza,408,723,Belgian-Style Pale Strong Ale,Belgian and French Ale,Jolly Pumpkin Artisan Ales,3115 Broad Street,Dexter,Michigan
Richbrau Barleywine,5230,1055,American-Style Barley Wine Ale,North American Ale,Richbrau Brewing Company,1214 East Cary St,Richmond,Virginia
Back Road American Pale Ale,5397,63,American-Style Pale Ale,North American Ale,Back Road Brewery,310 Perry Street,LaPorte,Indiana
LaConner Pilsener,5401,763,German-Style Pilsener,German Lager,LaConner Brewing,117 South First Street,LaConner,Washington
Drunk Monk Hefeweizen,5413,1260,South German-Style Hefeweizen,German Ale,Three Floyds Brewing,9750 Indiana Parkway,Munster,Indiana
Blackout Stout,5794,605,American-Style Imperial Stout,North American Ale,Great Lakes Brewing,2516 Market Avenue,Cleveland,Ohio
Cliffhanger Light Ale,4576,76,American-Style Light Lager,North American Lager,Barley Creek Brewing,RR 1 Box 185,Tannersville,Pennsylvania
Saranac Pale Ale,4595,512,American-Style Pale Ale,North American Ale,F.X. Matt Brewing,811 Edward Street,Utica,New York
Green Lakes Organic Ale,4709,441,American-Style Amber/Red Ale,North American Ale,Deschutes Brewery,901 SW Simpson Avenue,Bend,Oregon
Bachelor ESB,3629,441,Extra Special Bitter,British Ale,Deschutes Brewery,901 SW Simpson Avenue,Bend,Oregon
Avalanche Amber,3721,236,American-Style Amber/Red Ale,North American Ale,Breckenridge Brewery,471 Kalamath Street,Denver,Colorado
Samuel Adams Winter Lager,3919,157,Traditional German-Style Bock,German Lager,Boston Beer Company,30 Germania Street,Boston,Massachusetts
Two Hearted Ale,4133,100,American-Style India Pale Ale,North American Ale,Bell's Brewery Inc.,8938 Krum Ave.,Galesburg,Michigan
Pale Ale,4295,328,American-Style Pale Ale,North American Ale,Caldera Brewing,540 Clover Lane,Ashland,Oregon
India Pale Ale,2298,943,American-Style Pale Ale,North American Ale,Olde Peninsula Brewpub and Restaurant,200 East Michigan Avenue,Kalamazoo,Michigan
Stout,2448,377,American-Style Stout,North American Ale,Chicago Brewing,2201 South Fort Apache Road,Las Vegas,Nevada
Gold Ale,2695,385,American-Style Pale Ale,North American Ale,Clipper City Brewing Co.,4615-B Hollins Ferry Road,Baltimore,Maryland
General Pippo's Porter,3984,2,Porter,Irish Ale,21st Amendment Brewery Cafe,563 Second Street,San Francisco,California
Capitol Premium Pale Ale,4032,1316,American-Style Pale Ale,North American Ale,Upstream Brewing Old Market,514 South Eleventh Street,Omaha,Nebraska
Oregon Golden Ale,4191,1072,Golden or Blonde Ale,North American Ale,Rogue Ales,2320 SE OSU Drive,Newport,Oregon
Michelob Light,4390,44,American-Style Light Lager,North American Lager,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Hop Ottin IPA,4482,41,American-Style India Pale Ale,North American Ale,Anderson Valley Brewing,17700 Boonville Rd,Boonville,California
