beer_name,beer_id,brewery_id,Style,Category,Brewer,Address,City,State
Cascade Golden Ale,3624,441,American-Style Pale Ale,North American Ale,Deschutes Brewery,901 SW Simpson Avenue,Bend,Oregon
Longshot American Pale Ale,3713,157,American-Style Pale Ale,North American Ale,Boston Beer Company,30 Germania Street,Boston,Massachusetts
Very Pale Ale,3155,1236,American-Style Pale Ale,North American Ale,Taylor Brewing,717 East Butterfield Road,Lombard,Illinois
Ale,3166,1014,American-Style Pale Ale,North American Ale,Prairie Rock Brewing - Elgin,127 South Grove Avenue,Elgin,Illinois
Pale Ale,1058,1169,American-Style Pale Ale,North American Ale,South Shore Brewery,808 West Main Street,Ashland,Wisconsin
Amber,1251,1100,American-Style Amber/Red Ale,North American Ale,San Diego Brewing,10450-L Friars Road,San Diego,California
Amber Lager,1292,731,American-Style Lager,North American Lager,Karl Strauss Brewery Gardens - Sorrento Mesa,9675 Scranton Road,San Diego,California
Henry Hudson IPA,1766,374,American-Style India Pale Ale,North American Ale,Chelsea Brewing Company,"Chelsea Piers, Pier 59",New York,New York
Winter Ale,26,1220,Old Ale,British Ale,Summit Brewing,910 Montreal Circle,Saint Paul,Minnesota
Harvest Ale 2007,70,1142,American-Style Pale Ale,North American Ale,Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California
Wild Salmon Pale Ale,765,526,American-Style Pale Ale,North American Ale,Fish Brewing Company & Fish Tail Brewpub,515 Jefferson Street SE,Olympia,Washington
Raspberry Wheat,4071,1173,Light American Wheat Ale or Lager,Other Style,Southern Tier Brewing Co,2051A Stoneman Circle,Lakewood,New York
Honey Cream Ale,4180,1072,American-Style Cream Ale or Lager,Other Style,Rogue Ales,2320 SE OSU Drive,Newport,Oregon
Double Bag Ale,4354,801,Belgian-Style Dubbel,Belgian and French Ale,Long Trail Brewing Co,Route 4 & 100A,Bridgewater Corners,Vermont
Burning River Pale Ale,4367,605,American-Style Pale Ale,North American Ale,Great Lakes Brewing,2516 Market Avenue,Cleveland,Ohio
"Reverend, The",4516,62,Belgian-Style Quadrupel,Belgian and French Ale,Avery Brewing Company,5763 Arapahoe Avenue,Boulder,Colorado
El Jefe,4690,1244,American-Style India Pale Ale,North American Ale,The Alchemist,23 South Main Street,Waterbury,Vermont
Heathen,4692,1244,American-Style India Pale Ale,North American Ale,The Alchemist,23 South Main Street,Waterbury,Vermont
Misery Bay IPA,4786,507,American-Style India Pale Ale,North American Ale,Erie Brewing Company,1213 Veshecco Drive,Erie,Pennsylvania
Unearthly Imperial India Pale Ale,4884,1173,Imperial or Double India Pale Ale,North American Ale,Southern Tier Brewing Co,2051A Stoneman Circle,Lakewood,New York
Radeau Red Ale,5020,396,Irish-Style Red Ale,Irish Ale,Cooper's Cave Ale Company,2 Sagamore Street,Glens Falls,New York
Richbrau India Pale Ale,5231,1055,American-Style India Pale Ale,North American Ale,Richbrau Brewing Company,1214 East Cary St,Richmond,Virginia
Dubble Fantasy,5310,1100,Other Belgian-Style Ales,Belgian and French Ale,San Diego Brewing,10450-L Friars Road,San Diego,California
Pine Tar Stout,5597,1015,American-Style Stout,North American Ale,Prescott Brewing Company,130 W Gurley St,Prescott,Arizona
Celebration Ale 1992,3261,1142,American-Style Pale Ale,North American Ale,Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California
Panama Limited Red Ale,2007,536,American-Style Pale Ale,North American Ale,Flossmoor Station Brewery,1035 Sterling Avenue,Flossmoor,Illinois
Trolleycar Stout,2041,553,American-Style Stout,North American Ale,Fratellos Restaurant and Brewery,4301 West Wisconsin,Appleton,Wisconsin
Rye Bock,2362,617,Traditional German-Style Bock,German Lager,Grumpy Troll Restaurant and Brewery,105 South Second Street,Mount Horeb,Wisconsin
Big Eye IPA,2447,68,American-Style India Pale Ale,North American Ale,Ballast Point Brewing,5401 Linda Vista Road #406,San Diego,California
Zwickel,2969,907,American-Style Lager,North American Lager,New Glarus Brewing Company,2400 State Highway 69,New Glarus,Wisconsin
Harvest Ale,3352,1142,American-Style Pale Ale,North American Ale,Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California
Stout,3448,350,American-Style Stout,North American Ale,Carolina Brewery,460 West Franklin Street,Chapel Hill,North Carolina
Lord Chesterfield Ale,3816,1388,American-Style Pale Ale,North American Ale,Yuengling & Son Brewing,310 Mill Creek Avenue,Pottsville,Pennsylvania
Stone IPA,821,1204,American-Style India Pale Ale,North American Ale,Stone Brewing Co.,1999 Citracado Parkway,Escondido,California
Pioneer Black River Red,936,1103,American-Style Amber/Red Ale,North American Ale,Sand Creek Brewing Company,320 Pierce St,Black River Falls,Wisconsin
Winterfest,2105,1229,American-Style Brown Ale,North American Ale,"T-Bonz Gill, Grill and Brewery",1028 Johnny Dodds Boulevard,Mount Pleasant,South Carolina
Anniversary Ale,2843,1181,Light American Wheat Ale or Lager,Other Style,Sprecher Brewing,701 West Glendale Avenue,Glendale,Wisconsin
Frozen Tundra,2871,725,American-Style Pale Ale,North American Ale,JT Whitney's Brewpub and Eatery,674 South Whitney Way,Madison,Wisconsin
Redwing,1135,440,American-Style Amber/Red Ale,North American Ale,Denver ChopHouse and Brewery,1735 19th Street #100,Denver,Colorado
Princess of Darkness Porter,1408,1268,Porter,Irish Ale,Titletown Brewing,200 Dousman Street,Green Bay,Wisconsin
Fegley's Amber Lager,4106,25,American-Style Amber/Red Ale,North American Ale,Allentown Brew Works,814 W Hamilton St,Allentown,Pennsylvania
Feast of Fools,4161,812,Fruit Beer,Other Style,Magic Hat,5 Bartlett Bay Road,South Burlington,Vermont
Hoppy Frog,4205,1072,American-Style India Pale Ale,North American Ale,Rogue Ales,2320 SE OSU Drive,Newport,Oregon
Pale Ale,4348,959,American-Style Amber/Red Ale,North American Ale,Otter Creek Brewing & Wolaver's Organic Ales,793 Exchange Street,Middlebury,Vermont
Weizen Bam BiÃ¨re,4890,723,Light American Wheat Ale or Lager,Other Style,Jolly Pumpkin Artisan Ales,3115 Broad Street,Dexter,Michigan
Red Barn Ale,5038,1251,French & Belgian-Style Saison,Belgian and French Ale,The Lost Abbey,155 Mata Way Suite 104,San Marcos,California
Terrapin Midnight Project Depth Charge Espresso Milk Stout,5649,1243,Sweet Stout,British Ale,Terrapin Beer Company,196 Alps Road,Athens,Georgia
Golf,5688,1352,South German-Style Hefeweizen,German Ale,Weyerbacher Brewing Company,905 Line Street,Easton,Pennsylvania
Wailua,4863,751,Light American Wheat Ale or Lager,Other Style,Kona Brewing,75-5629 Kuakini Highway,Kailua-Kona,Hawaii
Isolation Ale,63,935,Winter Warmer,Other Style,Odell Brewing,800 East Lincoln Avenue,Fort Collins,Colorado
Bent Nail IPA,88,1047,American-Style India Pale Ale,North American Ale,Red Lodge Ales,417 North Broadway,Red Lodge,Montana
Illuminator Doppelbock,260,624,Traditional German-Style Bock,German Lager,Half Moon Bay Brewing,390 Capistrano Road,Princeton by the Sea,California
Thunder Head IPA,772,1030,American-Style India Pale Ale,North American Ale,"Pyramid Alehouse, Brewery and Restaurant - Seattle",1201 First Avenue South,Seattle,Washington
Masterpiece Porter,934,1205,Porter,Irish Ale,Stone Cellar Brewpub & Restaurant,1004 South Olde Oneida,Appleton,Wisconsin
Amber,1087,822,American-Style Brown Ale,North American Ale,Mammoth Brewing,24 Lake Mary Road,Mammoth Lakes,California
Ding Ding Double IPA,1269,936,American-Style India Pale Ale,North American Ale,Oggi's Pizza and Brewing - Vista,425 South Melrose Drive,Vista,California
Maslifter Oktoberfest,1392,676,German-Style Oktoberfest,German Lager,Hops Haven Brew Haus,1327 North 14th Street,Sheboygan,Wisconsin
Poplar Porter,1497,922,Porter,Irish Ale,Northwoods Brewpub Grill,3560 Oakwood Mall Drive,Eau Claire,Wisconsin
Gnaw Bone Pale Ale,1940,930,American-Style Pale Ale,North American Ale,Oaken Barrel Brewing,50 North Airport Parkway,Greenwood,Indiana
Barktoberfest,4227,1255,German-Style Oktoberfest,German Lager,Thirsty Dog Brewing,529 Grant St. Suite B,Akron,Ohio
Sharkbite Red,4281,1009,American-Style Amber/Red Ale,North American Ale,Port Brewing Company,155 Mata Way Suite 104,San Marcos,California
Helios,5219,1326,French & Belgian-Style Saison,Belgian and French Ale,Victory Brewing,420 Acorn Lane,Downingtown,Pennsylvania
Doryman's Dark Ale,5561,974,American-Style Brown Ale,North American Ale,Pelican Pub & Brewery,33180 Cape Kiwanda Drive,Pacific City,Oregon
Hooker Oktoberfest,5590,1258,German-Style Oktoberfest,German Lager,Thomas Hooker Brewing,16 Tobey Road,Bloomfield,Connecticut
Big Sound Scotch Ale,5728,379,Scotch Ale,British Ale,Cigar City Brewing,3924 West Spruce Street Suite A,Tampa,Florida
Phoenixx Double ESB,5734,1044,Extra Special Bitter,British Ale,Real Ale Brewing Company,231 San Saba Court,Blanco,Texas
Extra Pale Ale,3140,1220,American-Style Pale Ale,North American Ale,Summit Brewing,910 Montreal Circle,Saint Paul,Minnesota
Bud Light,3784,44,American-Style Light Lager,North American Lager,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Razz-Wheat,2153,930,Light American Wheat Ale or Lager,Other Style,Oaken Barrel Brewing,50 North Airport Parkway,Greenwood,Indiana
Cortland Wheat,2269,1178,American-Style Lager,North American Lager,Spilker Ales,300 West Fourth Street,Cortland,Nebraska
Satsuma Wit,5912,10,Fruit Beer,Other Style,Abita Brewing Company,PO Box 1510,Abita Springs,Louisiana
Pale Ale,1708,385,American-Style Pale Ale,North American Ale,Clipper City Brewing Co.,4615-B Hollins Ferry Road,Baltimore,Maryland
Door County Cherry Wheat,2913,1135,Light American Wheat Ale or Lager,Other Style,Shipwrecked Brew Pub,7791 Egg Harbor Road,Egg Harbor,Wisconsin
Kilt Lifter Scottish Ale,283,892,Scotch Ale,British Ale,Moylan's Brewery & Restaurant,15 Rowland Way,Novato,California
Organic India Pale Ale,764,526,American-Style India Pale Ale,North American Ale,Fish Brewing Company & Fish Tail Brewpub,515 Jefferson Street SE,Olympia,Washington
Horn Dog,813,540,American-Style Barley Wine Ale,North American Ale,Flying Dog Brewery,2401 Blake St.,Denver,Colorado
Weldspatter IPA,4125,87,American-Style India Pale Ale,North American Ale,Bavarian Barbarian Brewing Company,429 W. 3rd St,Williamsport,Pennsylvania
Ãœber Pilsner,4198,1072,German-Style Pilsener,German Lager,Rogue Ales,2320 SE OSU Drive,Newport,Oregon
Saranac Black Diamond Bock,4610,512,Traditional German-Style Bock,German Lager,F.X. Matt Brewing,811 Edward Street,Utica,New York
Alena,4688,1244,Imperial or Double India Pale Ale,North American Ale,The Alchemist,23 South Main Street,Waterbury,Vermont
Sun Dog Amber Wheat,5002,44,Light American Wheat Ale or Lager,Other Style,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Ichabod's Midnight Ride,5170,1081,Pumpkin Beer,Other Style,Roy Pitz Brewing Company,140 North Third Street,Chambersburg,Pennsylvania
Eislin Dubbel,5344,402,Belgian-Style Dubbel,Belgian and French Ale,Copper Kettle Brewery,339 Fairground Rd,Millmont,Pennsylvania
River Horse Special Ale,5470,1058,Extra Special Bitter,British Ale,River Horse Brewing Company,80 LAMBERT LANE,Lambertville,New Jersey
Orchard White,5471,1246,Belgian-Style White,Belgian and French Ale,The Bruery,715 Dunn Way,Placentia,California
4868 Dark Wheat,3527,883,Porter,Irish Ale,Moonlight Brewing,PO Box 316,Fulton,California
Hopping Turtle Pale Ale,3030,1268,American-Style Pale Ale,North American Ale,Titletown Brewing,200 Dousman Street,Green Bay,Wisconsin
Capital Maibock,3122,338,German-Style Heller Bock/Maibock,German Lager,Capital Brewery,7734 Terrace Avenue,Middleton,Wisconsin
Blackbird Porter,3232,529,Porter,Irish Ale,Flagstaff Brewing,16 East Route 66,Flagstaff,Arizona
Hefeweizen,3267,803,American-Style Lager,North American Lager,Lost Coast Brewery,617 Fourth Street,Eureka,California
XXXXX Stout,3349,984,American-Style Stout,North American Ale,Pike Pub and Brewery,1415 First Avenue,Seattle,Washington
Hocus Pocus,1,812,Light American Wheat Ale or Lager,Other Style,Magic Hat,5 Bartlett Bay Road,South Burlington,Vermont
Brunette Nut Brown Ale,96,901,American-Style Brown Ale,North American Ale,Nebraska Brewing Company,7474 Towne Center Parkway #101,Papillion,Nebraska
Silk Lady,143,447,American-Style Pale Ale,North American Ale,Dick's Brewing,5945 Prather Road,Centralia,Washington
Grid Iron Amber Ale,306,707,American-Style Amber/Red Ale,North American Ale,Jack's Brewing,39176 Argonaut Way,Fremont,California
Boulevard Dry Stout,345,161,American-Style Stout,North American Ale,Boulevard Brewing Company,2501 Southwest Boulevard,Kansas City,Missouri
Frosty Frog,780,704,American-Style Pale Ale,North American Ale,Issaquah Brewhouse,35-C West Sunset Way,Issaquah,Washington
Princess of Darkness Porter,843,590,Porter,Irish Ale,Gottberg Brew Pub,2804 13th Street,Columbus,Nebraska
Tin Lizzie Hefeweizen,848,590,South German-Style Hefeweizen,German Ale,Gottberg Brew Pub,2804 13th Street,Columbus,Nebraska
Pugsley's Signature Series Barley Wine Style Ale,5120,1136,American-Style Barley Wine Ale,North American Ale,Shipyard Brewing - Portland,86 Newbury Street,Portland,Maine
White Magick of the Sun,5329,1330,Light American Wheat Ale or Lager,Other Style,"Voodoo Brewing Co.,LLC",215 1/5 Arch St.,Meadville,Pennsylvania
Alpha Klaus Xmas Porter,5411,1260,Porter,Irish Ale,Three Floyds Brewing,9750 Indiana Parkway,Munster,Indiana
Huckleberry Ale,5451,391,Fruit Beer,Other Style,Coeur d'Alene Brewing Company,209 Lakeside Avenue,Coeur d'Alene,Idaho
Chicken Killer Barley Wine,5535,1108,American-Style Barley Wine Ale,North American Ale,Santa Fe Brewing Company,35 Fire Place,Santa Fe,New Mexico
Cattail Peak,5629,658,Light American Wheat Ale or Lager,Other Style,Highland Brewing Company,12 Old Charlotte Highway,Asheville,North Carolina
(512) IPA,5737,1,American-Style India Pale Ale,North American Ale,(512) Brewing Company,"407 Radam, F200",Austin,Texas
Michelob Irish Red,5766,44,Irish-Style Red Ale,Irish Ale,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Golden Wheat,3408,1387,American-Style Lager,North American Lager,Yegua Creek Brewing - Dallas,2920 North Henderson Ave,Dallas,Texas
Black Hawk Stout,3459,847,American-Style Stout,North American Ale,Mendocino Brewing - Hopland,13351 Highway 101,Hopland,California
Thomas Kemper Porter,3511,1029,Porter,Irish Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California
Nut Brown Ale,2040,553,American-Style Brown Ale,North American Ale,Fratellos Restaurant and Brewery,4301 West Wisconsin,Appleton,Wisconsin
Winnebago Wheat,2044,553,South German-Style Hefeweizen,German Ale,Fratellos Restaurant and Brewery,4301 West Wisconsin,Appleton,Wisconsin
Blind Tiger Pale Ale,2165,77,American-Style Pale Ale,North American Ale,Barley Island Brewing,639 Conner Street,Noblesville,Indiana
5th Anniversary IPA,2287,1204,American-Style India Pale Ale,North American Ale,Stone Brewing Co.,1999 Citracado Parkway,Escondido,California
Honey Lager,2682,1263,American-Style Lager,North American Lager,Thunderhead Brewery,18 East 21st Street,Kearney,Nebraska
Silver Cream,2866,1039,American-Style Lager,North American Lager,Rail House Restaurant and Brewpub,2029 Old Peshtigo Road,Marinette,Wisconsin
Sunshie Wit,4790,507,Belgian-Style White,Belgian and French Ale,Erie Brewing Company,1213 Veshecco Drive,Erie,Pennsylvania
Light Lager,1011,700,American-Style Lager,North American Lager,Iron Hill Brewery - Wilmingon,620 South Madison Street,Wilmington,Delaware
Old English Ale,1266,1101,Old Ale,British Ale,San Marcos Brewery & Grill,1080 West San Marcos Boulevard,San Marcos,California
Steelie Brown Ale,147,1151,American-Style Brown Ale,North American Ale,Skagit River Brewing,404 South Third Street,Mount Vernon,Washington
Cow Palace Scotch Ale,489,590,Scotch Ale,British Ale,Gottberg Brew Pub,2804 13th Street,Columbus,Nebraska
Hopluia,653,1178,American-Style Pale Ale,North American Ale,Spilker Ales,300 West Fourth Street,Cortland,Nebraska
Abbey Extra,5250,1090,Belgian-Style Pale Ale,Belgian and French Ale,Sacramento Brewing Company,2713 El Paseo Lane,Sacramento,California
Black Cat Stout,5287,1320,American-Style Stout,North American Ale,Valley Brewing Company,1950 W. Fremont St.,Stockton,California
Behemoth Barley Wine,5409,1260,American-Style Barley Wine Ale,North American Ale,Three Floyds Brewing,9750 Indiana Parkway,Munster,Indiana
Ramstein Winter Wheat,5610,657,German-Style Doppelbock,German Lager,High Point Wheat Beer Company,22 Park Place,Butler,New Jersey
Allagash Fluxus 09,5840,23,French & Belgian-Style Saison,Belgian and French Ale,Allagash Brewing,100 Industrial Way,Portland,Maine
Hedonism Ale,4770,780,American-Style Amber/Red Ale,North American Ale,Legacy Brewing Co.,545 Canal Street,Reading,Pennsylvania
Fallenbock,4789,507,German-Style Oktoberfest,German Lager,Erie Brewing Company,1213 Veshecco Drive,Erie,Pennsylvania
India Pale Ale,4033,1316,American-Style India Pale Ale,North American Ale,Upstream Brewing Old Market,514 South Eleventh Street,Omaha,Nebraska
Goose Island IPA,4407,586,American-Style India Pale Ale,North American Ale,Goose Island Beer Company - Fulton Street,1800 West Fulton Street,Chicago,Illinois
Wenceslas,2483,1368,Porter,Irish Ale,Willoughby Brewing,4057 Erie Street,Willoughby,Ohio
Pilsner,3488,1067,American-Style Lager,North American Lager,Rock Bottom Restaurant & Brewery - San Jose,1875 South Bascom Avenue #700,Campbell,California
Thomas Kemper Porter,3511,1029,Porter,Irish Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California
Lancaster Strawberry Wheat,3880,771,Light American Wheat Ale or Lager,Other Style,Lancaster Brewing Co.,302 N. Plum St.,Lancaster,Pennsylvania
Desperado Pale Ale,3467,389,American-Style Pale Ale,North American Ale,Coast Range Brewing,7050 Monterey Street,Gilroy,California
Oktoberfest,1411,586,German-Style Oktoberfest,German Lager,Goose Island Beer Company - Fulton Street,1800 West Fulton Street,Chicago,Illinois
Pipe Organ Pale Ale,4670,1248,American-Style Pale Ale,North American Ale,The Church Brew Works,3525 Liberty Avenue,Pittsburgh,Pennsylvania
American Cream Ale,2206,591,American-Style Lager,North American Lager,Govnor's Public House,220 North Randall Road,Lake In The Hills,Illinois
Foxtoberfest,2876,553,German-Style Oktoberfest,German Lager,Fratellos Restaurant and Brewery,4301 West Wisconsin,Appleton,Wisconsin
Maximus Ale,4258,765,American-Style India Pale Ale,North American Ale,Lagunitas Brewing Company,1280 North McDowell Boulevard,Petaluma,California
Tatonka Stout,313,133,American-Style Imperial Stout,North American Ale,BJ's Restaurant and Brewery,600 Brea Mall,Brea,California
Brown Bear Brown Ale,3484,1067,American-Style Brown Ale,North American Ale,Rock Bottom Restaurant & Brewery - San Jose,1875 South Bascom Avenue #700,Campbell,California
HefeWeizen,3513,1029,American-Style Lager,North American Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California
Shark Attack Double Red Ale,3898,1009,American-Style Amber/Red Ale,North American Ale,Port Brewing Company,155 Mata Way Suite 104,San Marcos,California
Mojo Risin' Double IPA,5441,160,Imperial or Double India Pale Ale,North American Ale,Boulder Beer Company,2880 Wilderness Place,Boulder,Colorado
3767 Belgian-style IPA with Brett,5674,858,Other Belgian-Style Ales,Belgian and French Ale,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
Long Face Amber,1027,942,American-Style Amber/Red Ale,North American Ale,Olde Main Brewing,316 Main Street,Ames,Iowa
Rocktoberfest,1162,1064,German-Style Oktoberfest,German Lager,Rock Bottom Restaurant & Brewery - Denver,1001 16th Street #A-100,Denver,Colorado
Red Trolley Ale,1291,731,American-Style Amber/Red Ale,North American Ale,Karl Strauss Brewery Gardens - Sorrento Mesa,9675 Scranton Road,San Diego,California
Fuggles IPA,1539,1136,American-Style India Pale Ale,North American Ale,Shipyard Brewing - Portland,86 Newbury Street,Portland,Maine
Old Bastard,1906,607,Old Ale,British Ale,Great Waters Brewing Company,426 St.Peter Street,Saint Paul,Minnesota
Victory Lager,1927,596,American-Style Lager,North American Lager,Granite City Food & Brewery - Saint Cloud,3945 Second Street South,Saint Cloud,Minnesota
Penalty Shot Porter,304,707,Porter,Irish Ale,Jack's Brewing,39176 Argonaut Way,Fremont,California
Old Rip Oatmeal Stout,681,123,American-Style Stout,North American Ale,Big Time Brewing,4133 University Way NE,Seattle,Washington
X Extra Pale Ale,901,21,American-Style Pale Ale,North American Ale,AleSmith Brewing,9368 Cabot Drive,San Diego,California
Hot Shot ESB,247,604,Extra Special Bitter,British Ale,Great Divide Brewing,2201 Arapahoe Street,Denver,Colorado
General Washington Tavern Porter,4166,1383,Porter,Irish Ale,Yards Brewing,2439 Amber Street,Philadelphia,Pennsylvania
Issaquah Bullfrog Ale,4199,1072,Light American Wheat Ale or Lager,Other Style,Rogue Ales,2320 SE OSU Drive,Newport,Oregon
Belgian White,4360,801,Belgian-Style White,Belgian and French Ale,Long Trail Brewing Co,Route 4 & 100A,Bridgewater Corners,Vermont
Old Fugget,4754,960,American-Style Barley Wine Ale,North American Ale,Otto's Pub and Brewery,2105 N. Atherton St.,State College,Pennsylvania
Otto's Hefeweizen,4755,960,South German-Style Hefeweizen,German Ale,Otto's Pub and Brewery,2105 N. Atherton St.,State College,Pennsylvania
Miss Liberty Lager,4920,784,American-Style Lager,North American Lager,Liberty Steakhouse and Brewery,1321 Celebrity Circle,Myrtle Beach,South Carolina
High Tide IPA,4992,1009,American-Style India Pale Ale,North American Ale,Port Brewing Company,155 Mata Way Suite 104,San Marcos,California
Wixa Weiss,5123,1379,Light American Wheat Ale or Lager,Other Style,Wynkoop Brewing,1634 18th Street,Denver,Colorado
"Zwaanend,ale",5182,459,American Rye Ale or Lager,Other Style,Dogfish Head Craft Brewery,6 Cannery Village Center,Milton,Delaware
Holy Mackerel Special Golden Ale,5449,587,Belgian-Style Pale Strong Ale,Belgian and French Ale,Gordash Brewing Company,3804 S.W 30th Ave,Fort Lauderdale,Florida
Old Slugger Pale Ale,5549,398,American-Style Pale Ale,North American Ale,Cooperstown Brewing Company,"River Street, P.O. Box 276",Milford,New York
Bitter Woman in the Rye,5559,1301,American Rye Ale or Lager,Other Style,Tyranena Brewing,1025 Owen Street,Lake Mills,Wisconsin
Cascade Apricot Ale,5694,1035,Belgian-Style Fruit Lambic,Belgian and French Ale,Raccoon Lodge and Brewpub / Cascade Brewing,7424 SW Beaverton-Hillsdale Hwy,Portland,Oregon
Acme California Brown Ale,3597,919,American-Style Brown Ale,North American Ale,North Coast Brewing Company,455 North Main Street,Fort Bragg,California
Summer Honey Seasonal Ale,3765,122,American-Style Lager,North American Lager,Big Sky Brewing,5417 Trumpeter Way,Missoula,Montana
London Porter,2083,47,Porter,Irish Ale,Arcadia Brewing,103 West Michigan Avenue,Battle Creek,Michigan
Snake Pit Porter,2154,930,Porter,Irish Ale,Oaken Barrel Brewing,50 North Airport Parkway,Greenwood,Indiana
Pick Axe IPA,2454,1165,American-Style India Pale Ale,North American Ale,Socorro Springs Brewing,1012 North California Street,Socorro,New Mexico
Superhop Ale,1116,76,American-Style Pale Ale,North American Ale,Barley Creek Brewing,RR 1 Box 185,Tannersville,Pennsylvania
Cork Brown Ale,1187,925,Porter,Irish Ale,O'Gara's Bar & Grill,146 Snelling Avenue North,Saint Paul,Minnesota
Big Easy Beer,1355,769,Traditional German-Style Bock,German Lager,Lakefront Brewery,1872 North Commerce Street,Milwaukee,Wisconsin
Roundabout Oatmeal Stout,1377,520,Oatmeal Stout,British Ale,Fifty Fifty Brewing Co.,11197 Brockway Road,Truckee,California
Pale Ale,1494,102,American-Style Pale Ale,North American Ale,Bent River Brewing,1413 Fifth Avenue,Moline,Illinois
Winter SkÃ¥l,1703,338,Traditional German-Style Bock,German Lager,Capital Brewery,7734 Terrace Avenue,Middleton,Wisconsin
Founders Red's Rye,4594,549,American Rye Ale or Lager,Other Style,Founders Brewing,235 Grandville Avenue SW,Grand Rapids,Michigan
Wicked Winter Brew,3356,978,Fruit Beer,Other Style,Pete's Brewing,14800 San Pedro Avenue,San Antonio,Texas
Oktoberfest,3507,1029,German-Style Oktoberfest,German Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California
Weizenberry,3523,1029,Light American Wheat Ale or Lager,Other Style,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California
Atta Boy IPA,3530,1004,American-Style India Pale Ale,North American Ale,Pleasanton Main Street Brewery,830 Main Street,Pleasanton,California
Broad Street Barleywine,3788,45,American-Style Barley Wine Ale,North American Ale,Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania
Blithering Idiot,3926,1352,American-Style Barley Wine Ale,North American Ale,Weyerbacher Brewing Company,905 Line Street,Easton,Pennsylvania
Hops Infusion,3932,1352,American-Style India Pale Ale,North American Ale,Weyerbacher Brewing Company,905 Line Street,Easton,Pennsylvania
Hopslam Ale,4143,100,Imperial or Double India Pale Ale,North American Ale,Bell's Brewery Inc.,8938 Krum Ave.,Galesburg,Michigan
Airship Light,4216,1255,Golden or Blonde Ale,North American Ale,Thirsty Dog Brewing,529 Grant St. Suite B,Akron,Ohio
Abbey Dubbel,4255,249,Belgian-Style Dubbel,Belgian and French Ale,Brewery Ommegang,656 County Highway 33,Cooperstown,New York
Scratch #7 2008,4645,1286,South German-Style Weizenbock,German Ale,Troegs Brewing,800 Paxton Street,Harrisburg,Pennsylvania
Rye,2632,553,American-Style Lager,North American Lager,Fratellos Restaurant and Brewery,4301 West Wisconsin,Appleton,Wisconsin
Peninsula Porter,2911,1135,Porter,Irish Ale,Shipwrecked Brew Pub,7791 Egg Harbor Road,Egg Harbor,Wisconsin
Cream Ale,2938,599,American-Style Lager,North American Lager,Gray Brewing,2424 West Court Street,Janesville,Wisconsin
Oatmeal Stout,62,236,American-Style Stout,North American Ale,Breckenridge Brewery,471 Kalamath Street,Denver,Colorado
Old Woody 2005,800,526,Old Ale,British Ale,Fish Brewing Company & Fish Tail Brewpub,515 Jefferson Street SE,Olympia,Washington
Stone Cali-Belgique,4969,1204,Other Belgian-Style Ales,Belgian and French Ale,Stone Brewing Co.,1999 Citracado Parkway,Escondido,California
Bourbon Barrel Aged Winter Warmer,5034,1038,Winter Warmer,Other Style,Rahr & Sons Brewing Company,701 Galveston Ave,Fortworth,Texas
Lancaster Limited Triple,5216,771,Belgian-Style Tripel,Belgian and French Ale,Lancaster Brewing Co.,302 N. Plum St.,Lancaster,Pennsylvania
Live Oak Pale Ale,5281,797,American-Style Pale Ale,North American Ale,Live Oak Brewing,3301-B East Fifth Street,Austin,Texas
Dundee Porter,5313,656,Porter,Irish Ale,High Falls Brewing,445 St.Paul Street,Rochester,New York
Kryptonite Imperial IPA,5825,700,Imperial or Double India Pale Ale,North American Ale,Iron Hill Brewery - Wilmingon,620 South Madison Street,Wilmington,Delaware
Wheat,5908,10,Vienna-Style Lager,German Lager,Abita Brewing Company,PO Box 1510,Abita Springs,Louisiana
Ironbound Ale,1008,700,American-Style Pale Ale,North American Ale,Iron Hill Brewery - Wilmingon,620 South Madison Street,Wilmington,Delaware
Blueberry Wheat,1765,374,Light American Wheat Ale or Lager,Other Style,Chelsea Brewing Company,"Chelsea Piers, Pier 59",New York,New York
Sunset Red Ale,1767,374,American-Style Pale Ale,North American Ale,Chelsea Brewing Company,"Chelsea Piers, Pier 59",New York,New York
Oktoberfest,2252,585,German-Style Oktoberfest,German Lager,Goose Island Beer Company - Clybourn,1800 North Clybourn Avenue,Chicago,Illinois
Weizen,2302,57,South German-Style Hefeweizen,German Ale,August Schell Brewing,1860 Schell Road,New Ulm,Minnesota
